U.S. Geological Survey
"Date created: April 17, 2019"
Contact: Douglas L. Moyer (dlmoyer@usgs.gov)
Table of trends in flow-normalized load from the Chesapeake Bay River Input Monitoring stations.,

Key to column headings:,
STAID=USGS Station ID,
STNAM:=Station name,
PCODE=Parameter code:,
,P00600 = Total nitrogen(as N)
,P00631 = Nitrate (as N)
,P00665 = Total phosphorus (as P)
,P00671 = Orthophosphorus (as P)
,P80154 = Suspended sediment
START_YEAR = First water year of modeling period used to estimate load,
END_YEAR = Last water year of modeling period used to estimate load,
"Trend Period = Length of period over which trend is computed, in years, through 2017.",
"Lower Confidence Interval, Change in Load = Lower confidence limit (90%) of the estimated change in load, in 10^6 kilograms per year (kg/yr)",
"Estimated Change in Load = Estimate of flow-normalized load change in Trend Period, in 10^6 kilograms per year (kg/yr)",
"Upper Confidence Interval, Change in Load = Upper confidence limit (90%) of the estimated change in load, in 10^6 kilograms per year (kg/yr)",
"Change in Load, in Percent = Total change in flow-normalized load in percent.",
"Direction of Change in Load = Trend direction, with 3 categories: No Trend, Degrading, Improving",
"Likelihood that Load is Changing = Likelihood of trend direction, with 4 categories: as Likely as Not (likelihood coef, >0.33 and <0.67), Likely (likelihood coef, >=0.67 and <0.90), Very Likely (likelihood coef, >=0.90 and <0.95), Extremely Likely (likelihood coef, >=0.95 and <=1.0)",
,

"Nutrient and suspended-sediment concentrations and loads and flow-normalized concentrations and loads were estimated using a weighted regression approach called Weighted Regressions on Time, Discharge, and Season (WRTDS) (Hirsch and others, 2010), which is included in the R (version 3.4.0) software package called EGRET - Exploration and Graphics for RivEr Trends (version 2.6.0) (Hirsch and DeCicco, 2015). The uncertainty associated with the trends of nutrient and sediment loads was estimated using the R package called EGRETci (version 1.0.2) ('ci' stands for confidence intervals) (Hirsch and others, 2015).  The application of WRTDS to generate the results provided in this table is documented in Chanat and others, 2016."

References Cited:
"Hirsch, R.M., Moyer, D.L., and Archfield, S.A., 2010, Weighted regressions on time, discharge, and season (WRTDS), with an application to Chesapeake Bay river inputs: Journal of the American Water Resources Resources Association, v. 46, no. 5, p. 857-880. http://onlinelibrary.wiley.com/doi/10.1111/j.1752-1688.2010.00482.x/abstract. (accessed May 24, 2016)"
"Hirsch, R.M. and De Cicco, L.A., 2015, User guide to Exploration and Graphics for RivEr Trends (EGRET) and dataRetrieval: R packages for hydrologic data (version 2.0, February 2015): U.S. Geological Survey Techniques and Methods book 4, chap. A10, 93 p., http://dx.doi.org/10.3133/tm4A10.(accessed May 24, 2016)"
"Hirsch, R.M., Archfield, S.A., and De Cicco, L.A., 2015, A bootstrap method for estimating uncertainty of water quality trends: Environmental Modelling and Software, v. 73, p. 148-166. http://dx.doi.org/10.1016/j.envsoft.2015.07.017 (accessed May 24, 2016)" 
"Chanat, J.G., Moyer, D.L., Blomquist, J.D., Hyer, K.E., and Langland, M.J., 2016, Application of a weighted regression model for reporting nutrient and sediment concentrations, fluxes, and trends in concentration and flux for the Chesapeake Bay Nontidal Water-Quality Monitoring Network, results through water year 2012: U.S. Geological Survey Scientific Investigations Report 2015-5133, 139 p.  http://dx.doi.org/10.3133/sir20155133. (accessed May 24,2016)",

Data provided are archived at the following persistent URL:https://doi.org/10.5066/P9P4H3ZX

"STAID","STNAM","PCODE","START_YEAR","END_YEAR","Trend Period","Lower Confidence Interval, Change in Load","Estimated Change in Load","Upper Confidence Interval, Change in Load","Change in Load, in Percent","Direction of Change in Load","Likelihood that Load is Changing"
"01491000","Choptank River near Greensboro, Md. ","P00600",1985,2018,10,0.000974,0.0113,0.0196,4.67,"Degrading","Extremely Likely"
"01491000","Choptank River near Greensboro, Md. ","P00631",1985,2018,10,-0.00728,0.00331,0.0178,2.15,"No Trend","as Likely as Not"
"01491000","Choptank River near Greensboro, Md. ","P00665",1985,2018,10,0.0039,0.0062,0.008,37.4,"Degrading","Extremely Likely"
"01491000","Choptank River near Greensboro, Md. ","P00671",1985,2018,10,0.00198,0.00298,0.00402,65.4,"Degrading","Extremely Likely"
"01491000","Choptank River near Greensboro, Md. ","P80154",1985,2018,10,-0.21,0.257,0.837,11.1,"Degrading","Likely"
"01578310","Susquehanna River at Conowingo, MD","P00600",1985,2018,10,-5.72,-0.54,6.1,-0.913,"No Trend","as Likely as Not"
"01578310","Susquehanna River at Conowingo, MD","P00631",1985,2018,10,-3.94,-0.675,4.16,-1.66,"No Trend","as Likely as Not"
"01578310","Susquehanna River at Conowingo, MD","P00665",1985,2018,10,-1.3,0.0779,0.585,2.49,"No Trend","as Likely as Not"
"01578310","Susquehanna River at Conowingo, MD","P00671",1985,2018,10,-0.12,0.084,0.171,21,"Degrading","Likely"
"01578310","Susquehanna River at Conowingo, MD","P80154",1985,2018,10,-1660,-663,-213,-28.3,"Improving","Extremely Likely"
"01594440","Patuxent River at Bowie, MD","P00600",1985,2018,10,-0.144,-0.119,-0.0828,-20.7,"Improving","Extremely Likely"
"01594440","Patuxent River at Bowie, MD","P00631",1985,2018,10,-0.141,-0.114,-0.088,-32.2,"Improving","Extremely Likely"
"01594440","Patuxent River at Bowie, MD","P00665",1985,2018,10,-0.00803,-0.00315,0.00359,-6.4,"Improving","Likely"
"01594440","Patuxent River at Bowie, MD","P00671",1985,2018,10,-0.00111,-0.000468,0.000167,-7.65,"Improving","Likely"
"01594440","Patuxent River at Bowie, MD","P80154",1985,2018,10,-7.39,0.281,5.64,1.15,"No Trend","as Likely as Not"
"01646580","Potomac River at Chain Bridge, MD","P00600",1985,2018,10,-2.69,-1.15,1.75,-5.36,"Improving","Likely"
"01646580","Potomac River at Chain Bridge, MD","P00631",1985,2018,10,-1.7,-0.84,0.702,-6.71,"Improving","Very Likely"
"01646580","Potomac River at Chain Bridge, MD","P00665",1985,2018,10,-0.573,0.117,0.323,6.82,"No Trend","as Likely as Not"
"01646580","Potomac River at Chain Bridge, MD","P00671",1985,2018,10,-0.125,-0.0659,-0.0486,-28.6,"Improving","Extremely Likely"
"01646580","Potomac River at Chain Bridge, MD","P80154",1985,2018,10,-401,42,431,3,"No Trend","as Likely as Not"
"01668000","RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA","P00600",1985,2018,10,-0.104,0.124,0.286,6.27,"Degrading","Likely"
"01668000","RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA","P00631",1985,2018,10,-0.0935,0.014,0.125,1.62,"No Trend","as Likely as Not"
"01668000","RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA","P00665",1985,2018,10,-0.0765,0.105,0.169,27.9,"Degrading","Likely"
"01668000","RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA","P00671",1985,2018,10,-0.0109,0.00191,0.00644,6.04,"No Trend","as Likely as Not"
"01668000","RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA","P80154",1985,2018,10,-28.5,76.1,149,28.3,"Degrading","Likely"
