OBJECTID,Survey,Location,Date_,Source,US_Acres,Origin,Class,SubClass,Group_,CoOccuElem,Notes,SubGroup,CMECS_Code,Label,Shape_Length,Shape_Area
1,Acoustic,"Tred Avon River, MD",2008 February,MGS,3.188119,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sandy_Mud,No_Shell, , ,S1.2.2.4,Sandy Mud,668.718872398738,21241.761874868
2,Acoustic,"Tred Avon River, MD",2008 February,MGS,5.991904,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,944.093933944265,39885.1621047947
3,Acoustic,"Tred Avon River, MD",2008 February,MGS,15.07121,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,Shell, , ,S1.2.2.5,Mud,3639.65473071055,100342.698369122
4,Acoustic,"Broad Creek, MD",2010 March,MGS,8.683095,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,1491.40223287864,57877.3227781985
5,Acoustic,"Tred Avon River, MD",2008 February,MGS,1.239994,Unclassified,Unclassified,Unclassified,Unclassified,<Null>, , ,S9.9.9.9,Unclassified,414.16732726194,8264.19509890144
6,Acoustic,"Tred Avon River, MD",2008 February,MGS,1.253541,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,646.206258403905,8345.05150933437
7,MBBS-Oyster,MD,1974-1983,MD DNR,174.361802,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,4619.72801625617,1138778.30207743
8,Acoustic,"Tred Avon River, MD",2008 February,MGS,5.479893,Unclassified,Unclassified,Unclassified,Unclassified,<Null>, , ,S9.9.9.9,Unclassified,1736.36582330649,36483.9273057938
9,Acoustic,"Broad Creek, MD",2010 March,MGS,57.651195,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,8274.97664329015,384760.350536462
10,Acoustic,"Tred Avon River, MD",2008 February,MGS,7.271191,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,1481.66343940952,48468.3069474452
11,Acoustic,"Tred Avon River, MD",2008 February,MGS,19.400831,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sandy_Mud,No_Shell, , ,S1.2.2.4,Sandy Mud,5247.79568742692,129282.349668042
12,Acoustic,"Tred Avon River, MD",2008 February,MGS,44.074352,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,4562.97379846789,293685.330852637
13,Acoustic,"Broad Creek, MD",2010 March,MGS,5.849064,Unclassified,Unclassified,Unclassified,Unclassified,<Null>, , ,S9.9.9.9,Unclassified,1912.20167401478,39029.9952253334
14,Acoustic,"Tred Avon River, MD",2008 February,MGS,4.246855,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Muddy_Sand,No_Shell, , ,S1.2.2.3,Muddy Sand,840.509834297373,28303.0647011235
15,Acoustic,"Tred Avon River, MD",2008 February,MGS,1.788668,Unclassified,Unclassified,Unclassified,Unclassified,<Null>, , ,S9.9.9.9,Unclassified,559.254034677302,11921.53493451
16,Acoustic,"Tred Avon River, MD",2008 February,MGS,323.501674,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,19728.421789302,2156345.68945657
17,Acoustic,"Tred Avon River, MD",2008 February,MGS,12.26175,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,1732.20768282433,81718.2783894537
18,Acoustic,"Tred Avon River, MD",2008 February,MGS,8.649603,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,2182.5502291343,57624.3564300614
19,Acoustic,"Tred Avon River, MD",2008 February,MGS,21.95737,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Muddy_Sand,No_Shell, , ,S1.2.2.3,Muddy Sand,4117.9496790041,146310.58249422
20,Acoustic,"Tred Avon River, MD",2008 February,MGS,18.86271,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Muddy_Sand,No_Shell, , ,S1.2.2.3,Muddy Sand,2580.00158567332,125634.662077021
21,Acoustic,"Tred Avon River, MD",2008 February,MGS,0.748403,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,261.575465371027,4988.07176233047
22,Acoustic,"Tred Avon River, MD",2008 February,MGS,10.223589,Unclassified,Unclassified,Unclassified,Unclassified,<Null>, , ,S9.9.9.9,Unclassified,2699.83081731937,68089.2511870486
23,Acoustic,"Tred Avon River, MD",2008 February,MGS,7.17178,Unclassified,Unclassified,Unclassified,Unclassified,<Null>, , ,S9.9.9.9,Unclassified,2192.4900736445,47815.6255219134
24,Acoustic,"Upper Choptank River, MD",2008 April,MGS,4.687238,Unclassified,Unclassified,Unclassified,Unclassified,<Null>, , ,S9.9.9.9,Unclassified,993.049416316778,31161.6086026693
25,Acoustic,"Tred Avon River, MD",2008 February,MGS,5.741022,Unclassified,Unclassified,Unclassified,Unclassified,<Null>, , ,S9.9.9.9,Unclassified,1474.79467987845,38278.6615879824
26,Acoustic,"Tred Avon River, MD",2008 February,MGS,3.92611,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sandy_Mud,No_Shell, , ,S1.2.2.4,Sandy Mud,1215.01229880522,26150.6987919705
27,Acoustic,"Tred Avon River, MD",2008 February,MGS,949.72458,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,47001.8029491083,6324618.55459717
28,Acoustic,"Tred Avon River, MD",2008 February,MGS,5.144278,Unclassified,Unclassified,Unclassified,Unclassified,<Null>, , ,S9.9.9.9,Unclassified,1076.88011213025,34264.1113171122
29,Acoustic,"Tred Avon River, MD",2008 February,MGS,9.942479,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Muddy_Sand,No_Shell, , ,S1.2.2.3,Muddy Sand,2142.78960465266,66217.075640707
30,Acoustic,"Tred Avon River, MD",2008 February,MGS,7.756907,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sandy_Mud,No_Shell, , ,S1.2.2.4,Sandy Mud,1762.85642755987,51657.9815519174
31,Acoustic,"Tred Avon River, MD",2008 February,MGS,0.809432,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,282.533316069713,5394.92092948973
32,Acoustic,"Broad Creek, MD",2010 March,MGS,140.004806,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,21232.0449975139,933660.039993191
33,Acoustic,"Severn River, MD",2009 February,MGS,56.784262,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,5847.74900862764,381439.819392403
34,Acoustic,"Broad Creek, MD",2010 March,MGS,9.167442,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,2090.45514772098,61131.7431670034
35,MBBS-Oyster,MD,1974-1983,MD DNR,39.116423,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,2736.53295808215,256531.483350684
36,MBBS-Oyster,MD,1974-1983,MD DNR,199.827439,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,9994.74387914681,1310496.50818364
37,Acoustic,"Breton Bay, MD",2010 June,MGS,146.823753,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,10734.0169083571,965201.293855004
38,MBBS-Oyster,MD,1974-1983,MD DNR,39.81227,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,2486.82139450112,261741.36460939
39,MBBS-Oyster,MD,1974-1983,MD DNR,4.949002,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,1116.89278424717,32452.2400116302
40,MBBS-Oyster,MD,1974-1983,MD DNR,67.226864,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,3683.9577823784,438674.232230721
41,MBBS-Oyster,MD,1974-1983,MD DNR,4.540648,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,1233.41756150821,29617.6232110159
42,MBBS-Oyster,MD,1974-1983,MD DNR,1145.532729,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,27092.6416505515,7475163.89933633
43,MBBS-Oyster,MD,1974-1983,MD DNR,366.704763,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,11129.4734727977,2391644.46021076
44,MBBS-Oyster,MD,1974-1983,MD DNR,4.842416,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,788.252463030825,31552.5886326922
45,MBBS-Oyster,MD,1974-1983,MD DNR,78.563808,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,3079.93707660687,512166.029663647
46,Acoustic,"Tred Avon River, MD",2008 February,MGS,4.792407,Anthropogenic,Anthropogenic_Shell,Anthropogenic_Shell_Rubble,Anthropogenic_Oyster_Rubble,Mud, , ,S3.6.2.1,Man-Made Oyster Rubble,850.141876791512,31915.3285710128
47,MBBS-Oyster,MD,1974-1983,MD DNR,35.550321,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,2398.31499224747,231881.639157476
48,MBBS-Oyster,MD,1974-1983,MD DNR,10271.19308,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,149630.455177246,67054566.2801718
49,Acoustic,"St. Mary's River, MD",2010 June,MGS,803.547817,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,19939.5799287798,5276111.17127528
50,MBBS-Oyster,MD,1974-1983,MD DNR,11.111849,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,1366.16205550488,73902.0923844389
51,MBBS-Oyster,MD,1974-1983,MD DNR,24.131365,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,1841.53388533615,157370.233048916
52,MBBS-Oyster,MD,1974-1983,MD DNR,213.444191,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,7705.40987666805,1391846.58568971
53,MBBS-Oyster,MD,1974-1983,MD DNR,423.268785,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,12902.3093951742,2758621.0213081
54,MBBS-Oyster,MD,1974-1983,MD DNR,42.448862,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,2304.39174101437,276758.316120826
55,MBBS-Oyster,MD,1974-1983,MD DNR,0.701188,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,313.360823409935,4569.44874606876
56,Acoustic,"Breton Bay, MD",2010 June,MGS,179.607428,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,22162.0116432801,1181394.15683873
57,Acoustic,"St. Mary's River, MD",2010 June,MGS,160.269132,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,16913.2253267168,1052332.56407951
58,Acoustic,"Breton Bay, MD",2010 June,MGS,276.165547,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,23517.121345772,1815251.57139179
59,MBBS-Oyster,MD,1974-1983,MD DNR,63.04643,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,4774.00901134861,413979.320273578
60,MBBS-Oyster,MD,1974-1983,MD DNR,49.652183,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,2591.9684962314,323874.425633384
61,MBBS-Oyster,MD,1974-1983,MD DNR,642.284339,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,23867.2282849829,4191499.5592064
62,MBBS-Oyster,MD,1974-1983,MD DNR,182.96655,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,15528.3774265561,1216991.98587055
63,MBBS-Oyster,MD,1974-1983,MD DNR,19.554487,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,1382.37472760583,127843.341850134
64,MBBS-Oyster,MD,1974-1983,MD DNR,13562.579061,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,184851.298478078,88637202.8362097
65,MBBS-Oyster,MD,1974-1983,MD DNR,12.11149,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,1119.56290695215,79217.8048107711
66,MBBS-Oyster,MD,1974-1983,MD DNR,8.4123,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,979.916857369937,55021.5361241146
67,MBBS-Oyster,MD,1974-1983,MD DNR,158.491377,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,6289.29013593877,1036516.2107732
68,Acoustic,"Breton Bay, MD",2010 June,MGS,46.40323,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,4003.70791749308,305219.275874829
69,MBBS-Oyster,MD,1974-1983,MD DNR,14.682352,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,1210.97587885148,95760.2982601622
70,MBBS-Oyster,MD,1974-1983,MD DNR,40.002968,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,2194.90937024829,260857.086662957
71,MBBS-Oyster,MD,1974-1983,MD DNR,1501.657592,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,34283.301691239,9789058.37727891
72,MBBS-Oyster,MD,1974-1983,MD DNR,12.486644,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,2134.34113500841,82009.6550678847
73,Acoustic,Little Choptank River,2009 May,MGS,1.206119,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,539.149706096043,8001.41251081856
74,Acoustic,"Broad Creek, MD",2010 March,MGS,5.512517,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,1174.98032915099,36758.5234356467
75,MBBS-Oyster,MD,1974-1983,MD DNR,54.644471,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,5690.76878426537,358572.606717712
76,MBBS-Oyster,MD,1974-1983,MD DNR,6.192426,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,903.306708460877,40799.7631086093
77,MBBS-Oyster,MD,1974-1983,MD DNR,33.707676,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,3508.56883170821,221161.617076266
78,MBBS-Oyster,MD,1974-1983,MD DNR,19.851528,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,2283.68380912544,130803.636705635
79,Acoustic,"St. Mary's River, MD",2010 June,MGS,8.398718,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,1629.72541156555,55126.6728122133
80,MBBS-Oyster,MD,1974-1983,MD DNR,5.030739,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,916.247959252813,33003.9395387552
81,Acoustic,"St. Mary's River, MD",2010 June,MGS,89.915833,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,15620.7149345458,590335.533598145
82,MBBS-Oyster,MD,1974-1983,MD DNR,2.207097,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,512.969618121881,14461.1704644908
83,MBBS-Oyster,MD,1974-1983,MD DNR,35.62828,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,3497.80205921144,233427.933377589
84,Acoustic,"Rhode, South, West Rivers, MD",2005-2008,NOAA-CBO,0.605702,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,326.092227104839,4052.09682462118
85,Acoustic,Little Choptank River,2009 May,MGS,1.512422,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,588.376442827038,10033.4321225688
86,MBBS-Oyster,MD,1974-1983,MD DNR,3.115425,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,741.105512059331,20507.9123679457
87,Acoustic,"Upper Choptank River, MD",2008 April,MGS,3.200641,Unclassified,Unclassified,Unclassified,Unclassified,<Null>, , ,S9.9.9.9,Unclassified,907.029837749643,21254.0706307433
88,Acoustic,"Corsica River, MD",2005 July,NOAA-CBO,513.801032,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,25101.8917090566,3456971.5769521
89,MBBS-Oyster,MD,1974-1983,MD DNR,174.032345,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,10160.9797194131,1156402.44772437
90,Acoustic,"Upper Choptank River, MD",2008 April,MGS,1894.145798,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,70257.0686626946,12580914.7791029
91,MBBS-Oyster,MD,1974-1983,MD DNR,6.148921,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,1167.32789614026,40904.9963359328
92,Acoustic,"Upper Choptank River, MD",2008 April,MGS,4.947428,Unclassified,Unclassified,Unclassified,Unclassified,<Null>, , ,S9.9.9.9,Unclassified,1377.00648592537,32857.586498175
93,Acoustic,"Broad Creek, MD",2010 March,MGS,39.432863,Unclassified,Unclassified,Unclassified,Unclassified,<Null>, , ,S9.9.9.9,Unclassified,7972.518419681,262867.421218284
94,Acoustic,"Broad Creek, MD",2010 March,MGS,2569.230732,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,114695.710207054,17120110.5488523
95,Acoustic,"Broad Creek, MD",2010 March,MGS,141.198643,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,18287.0674877273,941352.293706123
96,Acoustic,"Broad Creek, MD",2010 March,MGS,8.747463,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Sand, , ,S2.5.2.3,Natural Oyster Rubble,2165.76409485863,58308.4911924801
97,Acoustic,"Severn River, MD",2009 February,MGS,26.261496,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,3415.42539015536,176388.375413873
98,Acoustic,"Rhode, South, West Rivers, MD",2005-2008,NOAA-CBO,1096.894666,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Sand,No_Shell, , ,S1.2.2.2,Sand,29042.0408122123,7338965.53131596
