OBJECTID,x,y,Sheltered_Coastline,Geomorphology_Hazard,Elevation_Hazard,Sea_Level_Rise_Hazard,Wave_Hazard,storm_surge_hazard,Erosion_Rate_Hazard,Forest_Present,Marsh_Present,Dune_Present,Oyster_Reef_Present,Underwater_Grass_Present,Hazard_with_Habitats,Hazard_without_Habitats,Hazard_Reduction_by_Habitats,Community_Flood_Risk_Max,Community_Flood_Risk_Nearest,Shoreline_Priority_Area,County,EI_wHAB,EI_woHAB,hab_role,NearRiskD,Latitude,Longitude
1,401798.774493,4385197.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,No,No,No,No,No,Low,Low,None,Low,Low,n/a,Harford,1.93069994,1.93069994,0,1705.31542969,39.61046626,-76.14365558
2,402048.774493,4385197.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,No,No,No,No,No,Moderate,Moderate,None,Low,Low,n/a,Harford,2.13165998,2.13165998,0,1485.03186035,39.61040646,-76.1410675
3,402298.774493,4385197.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,No,No,No,No,No,Low,Low,None,Moderate,Low,n/a,Harford,1.93069994,1.93069994,0,1238.37402344,39.61033921,-76.13815948
4,402798.774493,4385197.23155,Yes,High,Very Low,Low,Low,Very Low,Low,No,No,No,No,No,Moderate,Moderate,None,Moderate,Low,n/a,Harford,2.06478,2.06478,0,746.73651123,39.61023004,-76.13229766
5,403048.774493,4385197.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Moderate,Low,Moderate,Low,Tier 2,Harford,1.84218001,2.13165998,0.289478,507.52838135,39.6102623,-76.12938601
6,403298.774493,4385197.23155,Yes,High,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Moderate,Low,Moderate,Low,Tier 2,Cecil,1.78438997,2.06478,0.28039601,287.32260132,39.61029448,-76.12647435
7,403548.774493,4385197.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Very Low,Yes,No,No,No,No,Low,Low,Low,Moderate,Low,n/a,Cecil,1.55109,1.79481995,0.243736,98.96464539,39.61032659,-76.12356269
8,402048.774493,4384947.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,No,No,No,No,No,Low,Low,None,Low,Low,n/a,Harford,1.93069994,1.93069994,0,1539.20068359,39.60842722,-76.14122889
9,402298.774493,4384947.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,No,No,No,No,No,Moderate,Moderate,None,Moderate,Low,n/a,Harford,2.13165998,2.13165998,0,1402.0970459,39.60736214,-76.13910765
10,402548.774493,4384947.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,No,No,No,No,No,Moderate,Moderate,None,Moderate,Low,n/a,Harford,2.13165998,2.13165998,0,966.41046143,39.60912595,-76.13453859
