county,count_n_2007,count_n_2009,count_n_2010,count_n_2011,count_n_2012,count_n_2013,count_n_2014,count_n_2015,count_n_2016,count_p_2007,count_p_2009,count_p_2010,count_p_2011,count_p_2012,count_p_2013,count_p_2014,count_p_2015,count_p_2016,count_s_2007,count_s_2009,count_s_2010,count_s_2011,count_s_2012,count_s_2013,count_s_2014,count_s_2015,count_s_2016
ALLEGANY,583849.535270923,568049.9576345381,584744.786090747,529916.250012607,487075.04774371197,489772.906984392,500353.660866472,490604.77258394193,495707.3679975532,105379.976260695,100706.726196444,104403.552643827,90950.435325175,76683.995733344,68310.558486402,81738.452830434,81689.1421875688,80427.69438769016,41004921.362395376,39587233.00461303,40218849.11041885,39437073.30392021,40312205.9374582,38494551.061712295,37695350.93298299,37572990.70095834,35220276.59747052
ANNE ARUNDEL,3236222.199835625,3265126.905929254,3447438.007316902,3194005.889513442,3156711.1309939222,3486480.984180429,3444280.584799924,3353262.3935560603,3215687.3697674647,252185.246325026,228725.628071133,212344.773311199,199180.427960532,203339.876615427,173844.750923304,174150.530642539,163714.53653916786,164979.71905382763,39152126.15022362,35764519.63637511,34301661.642322235,33012880.814914983,33566093.42681258,33260110.409124177,34499036.25558684,33451205.76823564,32593462.922238946
BALTIMORE,4775734.539480215,4286587.78690334,4454023.339342006,4319735.77302647,4383894.66234506,4088102.842801508,4261517.653789403,4165118.5609079786,4384631.336690442,223814.168872096,212204.99165745,202838.5239958095,195257.7881608308,193858.1056117483,249287.65522641898,247301.25486916798,249156.5402637718,245888.07053843167,95039903.6751385,86082464.83662345,81673021.29370539,77292388.12551361,80659880.43108748,72955503.60471188,78924137.17029785,76267618.95107807,73605076.39140743
BALTIMORE CITY,3767167.267516277,3303309.043109518,3376604.361327959,3327278.766395634,3222307.967235342,3310765.818223332,3463903.126647456,3441561.6798787937,3566415.7630855665,126517.74730630101,123514.242418917,120826.670123005,116198.245385578,114759.8021990878,127764.293723197,123438.43553210801,127465.67520478752,124212.67741647421,40735581.36624333,38195104.95403393,42257270.379099034,40419536.00661739,40195313.21479783,36761068.24211881,37600693.18136348,37451299.056247115,37100373.08862245
CALVERT,845774.233373735,850107.854623572,829576.221073299,824278.183933047,813180.540851386,781243.918876221,932306.370200383,908730.4571405165,900858.4188555703,57378.745353025,60563.725923384,54087.035075472,53942.56249238,51703.956169098,33048.14693801,44151.380179215,44310.658759553684,43252.55114908982,25283160.84084998,21322365.852173027,18475982.827271685,14406403.262578487,12989650.230290405,11213828.905844785,27429366.109013777,28437616.95679176,28778543.49502027
CAROLINE,2329324.930775562,2190109.408418473,2184939.893289264,2106580.610204704,2101108.329456209,2042864.160281019,2286263.354237325,2267221.135191798,2296794.6499769688,164413.738689767,161336.168745691,159186.620723808,154306.639308067,160535.074540025,165096.883503801,175647.892444898,172411.08569565043,176441.34056821093,19153352.22370791,17742425.54739355,19170171.28007939,17517575.02230523,17616612.74115081,16819194.60892759,17433169.147098992,19612158.018199414,19685941.85260269
CARROLL,1174428.4731957118,1113218.734407535,1082071.268517923,1058427.550623336,1040583.0074944859,962537.298391205,929321.654028805,892636.9523909315,899861.6876696702,131421.64195165,122901.52846930201,126704.092129649,119750.44227713099,119252.891656248,110894.857894509,93174.520789295,88863.42102589342,88744.09631269751,67926020.3013776,62317479.85038331,57850283.745205864,57189053.92665603,57536447.14362648,53636557.80298918,46281351.43272216,43181229.01537978,42850448.092166424
CECIL,2122441.079693033,1956628.284052654,1923232.5066721379,1878055.7209401089,1837445.6459745981,1775251.773728244,1691307.180751049,1694235.9506459162,1729328.9049559543,109065.158125818,105836.659343148,106238.15154032,105811.408374605,106530.804014815,98364.110808046,76318.986043958,83553.81292035169,79191.49874127639,72202971.63305125,64595199.3119222,65739088.06227087,59966932.454739295,58058144.85590868,56071913.213321485,53970401.9312999,65784107.45868173,70739193.23308402
CHARLES,1321769.418859408,1213790.356489738,1296822.888236477,1226859.756306486,1234284.230279955,1027511.908010521,1152891.967489496,1147371.0315892603,1063307.4136170521,96669.735956082,84987.249022166,89077.618712553,86153.617020334,88722.626493181,70879.682556902,70047.638493074,64537.94667896,67758.0106421822,49074852.91687727,43399112.41141986,44818316.97106727,40422090.12696718,42531970.26512769,38240057.978544466,40647693.03494249,35825072.365041435,36839898.27036202
DORCHESTER,2198693.523163596,2047516.097675939,2048600.699950424,1999671.815507202,2001069.974328768,1880873.106280815,1751586.006851712,1712407.2933817548,1717947.8690037895,244672.984413578,238934.501811648,240641.1434007132,218213.533292762,238428.21705814402,227702.471189802,125942.064706816,125368.15462556748,133215.91677772507,20228452.511445742,18897332.89063971,19698270.230437733,19455396.08217272,19199971.372357953,17933172.71342772,15616787.321050968,16779506.260759175,16900490.633942373
FREDERICK,4846032.960902521,4603368.481759012,4483868.724777323,4399879.304085539,4430249.949863634,4174234.09861162,4150443.700701956,3960918.6168436278,3926485.676873725,270223.786941157,258085.994423125,258755.937003319,250834.909734672,248759.748564027,236306.713352386,218076.087626735,203743.85414734948,201959.2436241154,241260904.8721661,224795660.5691294,214998820.3474377,201260320.59955725,225816125.60987246,198096309.43968213,175681087.14222047,164318719.11785245,147228647.2012794
GARRETT,51446.5335854,50433.839384774,51276.630417373,50373.405786183,50314.188062441,49007.674666436,50250.909485338,48864.84247555304,52961.03426959645,19579.531155232,19382.556402533,19521.816929325,19282.412281901,19236.500225826,17390.127313235,15459.11530577,15003.097126702778,15762.343687093817,8352470.616577778,8177262.460500082,8284607.038193176,8115247.872789828,8107125.701109112,8174012.379532103,7760401.975524388,7464672.322567798,8249571.111131899
HARFORD,2896282.465549775,2735684.245191948,2789251.781331558,2741294.16708381,2679466.055056172,2543540.698736559,2445378.014808313,2229173.8408968635,2182216.3713308135,157360.043001765,143723.405052163,150352.406398929,142272.569503831,147123.891548064,127164.361302749,121968.117578365,101562.30452869221,95310.10640944069,118617735.81818323,107633917.87168123,108720039.08667059,110565894.16401275,107147144.15245079,98177063.56901115,89432930.07773319,87101849.53901309,78826224.31844315
HOWARD,1388635.60370186,1529141.735862208,1567161.387046481,1532323.580039198,1348978.471389675,1368110.60168349,1461658.608380202,1409356.9904613825,1464256.6698579998,92860.849820249,92970.493923432,91812.161522571,85677.442025984,81455.696027616,81974.519762237,82248.180424609,75794.5084965108,79438.07361493353,64470397.69379098,59083642.96491266,57790412.39350547,56170677.62675841,56576985.8307377,52870891.018485464,62633651.26949934,51967124.87791368,52201470.07925722
KENT,2050960.151898727,1908458.063015017,1880747.5441052099,1803855.544974106,1775415.130418826,1615273.91399161,1674478.87196875,1633729.779418476,1628154.8662089624,159410.900671704,151664.215153081,156194.912117795,145802.072450866,142131.891297295,140515.46509146498,122464.503756749,121589.67401049769,121248.64252384019,43060533.518743575,39896657.76609027,41942804.875845425,36463612.80675001,34192180.202742375,33194634.268315773,36962887.99843888,37294018.721454024,33867568.254390165
MONTGOMERY,4399907.203692891,4323565.452288285,4241037.288624569,3907660.307491962,3783564.282649731,3649138.014936708,3794177.856255482,3443700.705907088,3434891.6342724683,200101.557499496,192370.773247863,198770.50898521,198841.69445699,194765.001689831,163103.757766113,154925.705987647,154251.93617803277,155294.32647304138,125978784.57374369,116520589.75881793,128983156.03659989,129852009.75344586,131585211.56541628,110572788.38258205,122817779.69852611,117648852.28534687,103869883.5779157
PRINCE GEORGES,2884958.543105269,3008191.96100037,2821667.749307019,2490385.23279294,2414491.419185658,2180422.27535853,2400727.696198781,2111854.4058867204,2100072.49436035,254327.284679164,220189.396177303,210305.205228742,205976.684152891,203091.553508516,175588.40788719698,182015.177784244,153500.40550362103,152801.55424161232,134682759.38871208,113782178.66419691,99711609.45351642,94852639.45347743,94771870.47114678,86337852.42792913,104314235.3115083,84548962.4764672,78285461.8496919
