OBJECTID,LENGTH,MILES,TYPE,QUADRANGLE,DATE_,LEVELID,WebLink,Shape_Length
1,359.60299682,0.09539243,vegetated,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,462.415634224948
2,304.3540039,0.075169,beach,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,390.688402590403
3,33.85200119,0.02587435,waters edge,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,43.468650422358
4,439.5119934,0.18049049,vegetated,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,565.438897065044
5,26.63400077,0.09539243,vegetated,KENT ISLAND,04/06/1992,4,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,34.2344056974651
6,70.91139984,0.02587435,waters edge,KENT ISLAND,04/06/1992,4,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,91.0329832415382
7,1624.05004883,0.59010185,beach,KENT ISLAND,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,2091.86839053547
8,1309.34997559,0.32338094,structure,KENT ISLAND,04/06/1992,6,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,803.83679693444
9,229.52200317,0.23701376,beach,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,295.633615202236
10,367.29598999,0.23701376,beach,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,473.028532781924
11,362.83401489,0.23701376,beach,ANNAPOLIS,04/08/1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,467.210642980141
12,85.49410247,0.02111522,waters edge,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,109.905208493391
13,34.02500152,0.00840344,vegetated,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,43.7676375541917
14,354.77398681,0.12561174,beach,ANNAPOLIS,04/08/1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,456.559703787529
15,86.54640197,0.12561174,beach,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,111.425983610784
16,160.31700134,0.03959485,waters edge,ANNAPOLIS,04/08/1994,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,206.288988208649
17,129.79400634,0.03205635,vegetated,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,166.736956282356
18,208.01800537,0.051376,beach,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,267.717272800252
19,217.7599945,0.05378214,beach,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,280.462589540352
20,295.18899536,0.18422643,beach,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,379.520459686256
21,450.73098754,0.18422643,beach,ANNAPOLIS,04/08/1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,579.473108395168
22,67.27269744,0.12561174,beach,ANNAPOLIS,04/08/1994,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,86.6417868499613
23,262.35699462,0.12633164,beach,DEALE,1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,337.323161733861
24,540.16497802,0.13340926,beach,SOUTH RIVER,1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,694.458828739126
25,249.15100097,0.12633164,beach,DEALE,1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,320.362783457687
26,158.93299865,0.03925311,beach,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,204.299853348243
27,728.62200927,0.1799543,beach,ROUND BAY,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,938.180011158631
28,559.25201416,0.13812345,waters edge,ROUND BAY,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,719.452403306793
29,139.08099365,0.03435017,waters edge,ROUND BAY,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,178.855913968633
30,791.63702392,0.19551766,vegetated,ROUND BAY,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1017.83695420217
31,181.26100158,0.04476758,structure,ROUND BAY,1994,6,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,233.29408900535
32,438.68399047,0.10834558,vegetated,GIBSON ISLAND,04/08/1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,565.534356988182
33,87.15920257,0.02152647,waters edge,GIBSON ISLAND,04/08/1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,112.396159841594
34,808.3920288,0.23315528,beach,GIBSON ISLAND,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1042.10861316845
35,135.6369934,0.23315528,beach,GIBSON ISLAND,04/08/1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,174.932040041365
36,313.24301147,0.07736443,vegetated,GIBSON ISLAND,04/08/1994,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,403.5851199412
37,791.90802002,0.44655479,beach,GIBSON ISLAND,04/08/1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1020.95544471557
38,287.22601318,0.44655479,beach,GIBSON ISLAND,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,369.87363584881
39,728.93499755,0.44655479,beach,GIBSON ISLAND,04/08/1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,938.356167926154
40,441.62200927,0.10907135,structure,GIBSON ISLAND,04/08/1994,6,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,569.009688369149
41,158.8769989,0.03923931,beach,KENT ISLAND,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,204.594683205435
42,209.33599853,0.05170157,beach,KENT ISLAND,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,269.573596371132
43,432.3580017,0.10678328,beach,KENT ISLAND,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,556.830524843853
44,55.53079986,0.01371492,waters edge,KENT ISLAND,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,71.4830286236732
45,637.52099609,0.19157744,vegetated,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,820.191825560772
46,132.61000061,0.03275194,waters edge,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,170.422170852677
47,46.28950119,0.01143252,beach,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,59.6312177552972
48,175.2230072,0.04327644,waters edge,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,225.119874237366
49,25.37179946,0.00626629,beach,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,32.6082182050522
50,368.26000976,0.14392691,waters edge,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,473.545510697884
51,34.98329925,0.00864014,waters edge,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,44.9465097015137
52,1423.23999023,0.3515091,waters edge,KENT ISLAND,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,167.368953306153
53,617.48297119,0.16996318,waters edge,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,458.465209167843
54,214.49000549,0.14392691,waters edge,KENT ISLAND,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,81.7283584260649
55,87.91449737,0.02171301,waters edge,SOUTH RIVER,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,112.891849209442
56,429.66101074,0.10611717,beach,SOUTH RIVER,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,552.143895915848
57,583.96697998,0.1442275,waters edge,SOUTH RIVER,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,751.233867554604
58,2806.81005859,0.6932235,vegetated,SOUTH RIVER,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1001.53931858246
59,180.73500061,0.04463772,beach,CLAIBORNE,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,232.041774432555
60,385.73699951,0.16647614,beach,CLAIBORNE,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,495.026061600773
61,288.31298828,0.16647614,beach,CLAIBORNE,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,370.849899336188
62,214.22099304,0.13656282,vegetated,CLAIBORNE,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,275.377797996374
63,338.71301269,0.13656282,vegetated,CLAIBORNE,04/06/1992,5,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,435.896071763173
64,59.36859893,0.08599746,beach,CLAIBORNE,04/06/1992,5,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,76.3904938031107
65,288.82901001,0.08599746,beach,CLAIBORNE,04/06/1992,4,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,371.623869365326
