Time,Data Year,Data Month,Chesapeake Bay Monthly Mean Streamflow,Log10(Chesapeake Bay Monthly Mean Streamflow),min value,Log10(min value),25-percentile,Log10(25-percentile),75-percentile,Log10(75-percentile),max value,Log10(max value),Rank of Chesapeake Bay Monthly Mean Streamflow,Rank of Chesapeake Bay Annual Mean Streamflow,Chesapeake Bay Annual Mean Streamflow
1,1936,10,33200,4.52113808370404,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,44,-99,-99
2,1936,11,47800,4.67942789661212,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,53,-99,-99
3,1936,12,80300,4.90471554527868,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,45,-99,-99
4,1937,1,213400,5.32919441508845,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,2,-99,-99
5,1937,2,129700,5.11293997608408,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,23,-99,-99
6,1937,3,86100,4.93500315145366,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,78,-99,-99
7,1937,4,185500,5.26834391395107,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,17,-99,-99
8,1937,5,108000,5.03342375548695,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,37,-99,-99
9,1937,6,50200,4.70070371714502,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,54,-99,-99
10,1937,7,38300,4.58319877396862,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,38,-99,-99
11,1937,8,55700,4.74585519517373,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,11,-99,-99
12,1937,9,47000,4.67209785793572,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,16,-99,-99
13,1937,10,111600,5.04766419460156,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,8,21,89500
14,1937,11,106600,5.02775720469055,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,11,-99,-99
15,1937,12,79900,4.90254677931399,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,44,-99,-99
16,1938,1,79400,4.8998205024271,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,48,-99,-99
17,1938,2,101900,5.00817418400643,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,39,-99,-99
18,1938,3,112100,5.04960561259497,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,59,-99,-99
19,1938,4,89200,4.95036485437612,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,72,-99,-99
20,1938,5,59500,4.77451696572855,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,73,-99,-99
21,1938,6,50100,4.69983772586725,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,53,-99,-99
22,1938,7,48000,4.68124123737559,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,21,-99,-99
23,1938,8,48300,4.68394713075151,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,14,-99,-99
24,1938,9,32600,4.51321760006794,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,28,-99,-99
25,1938,10,22500,4.35218251811136,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,66,45,76583
26,1938,11,30800,4.48855071650044,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,70,-99,-99
27,1938,12,83900,4.9237619608287,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,40,-99,-99
28,1939,1,52500,4.72015930340596,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,70,-99,-99
29,1939,2,189000,5.27646180417324,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,3,-99,-99
30,1939,3,156100,5.19340290306242,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,34,-99,-99
31,1939,4,129100,5.11092624226642,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,45,-99,-99
32,1939,5,51200,4.70926996097583,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,83,-99,-99
33,1939,6,31300,4.49554433754645,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,80,-99,-99
34,1939,7,29700,4.47275644931721,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,57,-99,-99
35,1939,8,33200,4.52113808370404,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,38,-99,-99
36,1939,9,14700,4.16731733474818,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,72,-99,-99
37,1939,10,20600,4.31386722036915,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,69,63,68750
38,1939,11,33100,4.51982799377572,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,65,-99,-99
39,1939,12,27200,4.4345689040342,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,83,-99,-99
