tributary_basin,count_1985,count_2007,count_2009,count_2010,count_2011,count_2012,count_2013,count_2014,count_2015,count_2016
Choptank,398993.957522973,316684.975626929,294116.98069032,295848.1374936822,278756.25188277,290613.329374519,284269.017118882,276865.418971307,269874.39909188985,275775.301242927
Lower Eastern Shore,822995.044289855,526747.4351738481,491859.966840505,507561.593645952,448058.114709504,511281.3728786,481135.696625811,455596.345994814,440284.95877615456,438164.17511685035
Lower Potomac,254149.771386328,164716.709886097,148393.309301811,156546.794327306,153384.255929904,158578.044167778,137284.83531898799,139544.194762855,126768.17907890189,129675.5740617615
Lower Western Shore,209262.774837954,142906.251729009,129336.104090004,113049.370375753,107921.06020181799,107815.973701515,82877.885280523,85864.894376843,75839.84329475998,72560.76620812644
Middle Potomac,346611.151451486,284407.343255125,261201.57377863998,260608.658599012,263066.985367486,259663.561821101,218656.947925853,225373.95578770898,214260.55448657897,219386.2451084323
Patapsco/Back,1120060.823999779,403432.228429926,390308.622451016,373407.8742105085,352327.1893854398,348332.2836384921,368157.208617714,358737.83357787,372552.18201059615,368534.05599998066
Patuxent,485553.785375887,320101.467507952,293724.162751257,291979.385317562,280382.30465078,276593.179317743,223998.469237291,231358.169581909,201719.19969238772,202422.1059492454
Upper Eastern Shore,378019.230217368,396106.973971875,371635.432187509,378790.45461927203,364437.005530771,359959.119234188,345921.891728156,315884.658546452,313030.86550340883,311157.9109951215
Upper Potomac,989229.51940643,672092.846044718,642123.174376457,649705.649238401,618241.12057289,606090.487763298,566812.086477321,546650.181102684,523907.8750410657,525774.0182939336
Upper Western Shore,314778.719872108,253999.546981298,239019.243241795,244662.754371667,234297.410734482,239343.497222873,270378.974967925,260601.386815731,240779.72201053772,232100.30382313643
