tributary_basin,count_1985,count_2007,count_2009,count_2010,count_2011,count_2012,count_2013,count_2014,count_2015,count_2016
Choptank,55820336.66166469,44328936.86921531,40255049.92844262,41834200.311218746,40652852.73360034,40376951.37250083,38365612.620456435,39158198.80574933,41078677.273057535,40640474.57753441
Lower Eastern Shore,64794853.502757035,48613743.95522908,42561907.549467646,44786357.61125678,43862829.01815387,42897151.90481923,40237034.69575262,37829405.249618135,39553993.97652513,38840787.59328301
Lower Potomac,130171357.1433659,98611673.82592669,88279151.38241793,90748777.94447015,84287002.73506181,89089712.42180668,80758829.93961515,86962242.58120133,75859991.14198941,75973111.77103156
Lower Western Shore,25681481.22059831,23283972.80820472,21192403.331063364,19886174.465015292,18973823.004073024,18806689.420153044,18529936.81917351,20658292.02172049,20261875.029520035,19603475.57725537
Middle Potomac,260478422.32345587,194807286.5000911,175402748.63532948,179550106.98770154,178262861.0793986,179887854.8338839,154518755.40891585,180063160.68443334,163049989.98531434,149291160.41783684
Patapsco/Back,157029796.45722246,126415959.81411204,114144131.1397341,114126038.71754514,109590340.25690974,112132545.85149063,102529984.17473203,108994957.59607868,105281607.44934845,103991185.97249687
Patuxent,203581102.03092209,150611675.0477649,131035193.77382734,122768949.79069944,114336813.01952164,113496559.13075644,102682128.35175896,130310178.2771718,115000297.3363307,110053170.89596877
Upper Eastern Shore,155006545.3891748,132159094.09759687,118862812.9362281,120974964.79752997,112666209.93812962,108420902.20703778,102951423.54797097,108042110.24252918,113517236.55284122,115619829.35283946
Upper Potomac,572981109.3719419,527202511.91607994,496042496.46974707,475948499.3777373,465718103.12610245,506962622.62925494,464257875.9004994,446610012.0622649,432032784.79115045,409803746.6752
Upper Western Shore,244015960.13381055,181724840.480897,165760211.93330008,165177074.10420743,163201545.07797664,160900717.55838552,147899541.6560779,140126073.6578031,141392179.57837713,131636309.31290218
