Title,count
Gender Queer: A Memoir,30
All Boys Aren't Blue,21
Lawn Boy,16
Out of Darkness,16
The Bluest Eye,12
Beyond Magenta: Transgender Teens Speak Out,11
Me and Earl and the Dying Girl,9
The Hate U Give,9
All American Boys,8
"l8r, g8r",8
Crank (Crank Series),7
This One Summer,7
Jack of Hearts (and other parts),6
Melissa (George),6
The Absolutely True Diary of a Part-Time Indian,6
The Breakaways,6
The Handmaid's Tale,6
This Book Is Gay,6
Drama: A Graphic Novel,5
Fun Home: A Family Tragicomic,5
Looking for Alaska,5
Dear Martin,4
Ghost Boys,4
How to Be an Antiracist,4
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",4
Lily and Dunkin,4
Monday's Not Coming,4
More Happy Than Not,4
New Kid,4
Stamped from the Beginning: The Definitive History of Racist Ideas in America,4
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,4
The Infinite Moment of Us,4
The Kite Runner,4
The Poet X,4
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,4
We Are the Ants,4
Almost Perfect,3
An African American and Latinx History of the United States,3
Beloved,3
Blended,3
Brave Face: A Memoir,3
Cemetery Boys,3
Class Act,3
"Gabi, a Girl in Pieces",3
Grasshopper Jungle (Grasshopper Jungle Series),3
"Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)",3
Juliet Takes a Breath,3
Nineteen Minutes,3
Notes from the Blender,3
Of Mice and Men,3
Pride: The Story of Harvey Milk and the Rainbow Flag,3
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",3
Separate Is Never Equal: Sylvia Mendez and Her Family's Fight for Desegregation,3
Shout,3
Sold,3
Speak,3
Symptoms of Being Human,3
The Baby Tree,3
The Handmaid's Tale The Graphic Novel,3
The Music of What Happens,3
The Nowhere Girls,3
The Perks of Being a Wallflower,3
The Sin-Eater's Confession,3
Thirteen Reasons Why,3
"This Book Is Anti-Racist: 20 Lessons on How to Wake Up, Take Action, and Do the Work",3
Tricks (Tricks Series),3
Two Boys Kissing,3
V for Vendetta,3
"Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)",3
#BlackLivesMatter: Protesting Racism,2
"#Hockey (Check, Please! Series)",2
7 Days at the Hot Corner,2
A Court of Mist and Fury,2
A Love Story Starring My Dead Best Friend,2
After,2
Afterworlds,2
All the Things We Do in the Dark,2
Another Kind of Cowboy,2
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Series),2
As I Descended,2
Ash,2
Ask the Passengers,2
Bad for You (Sea Breeze Series),2
Being Jazz: My Life as a (Transgender) Teen,2
Being the Change: Lessons and Strategies to Teach Social Comprehension,2
Between the World and Me,2
"Bioethics: Who Lives, Who Dies, And Who Decides?",2
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,2
Black Rabbit Summer,2
Brave New World,2
Burned (Burned Series),2
Cinderella Is Dead,2
City of Heavenly Fire (The Mortal Instruments Series),2
Cradle and All,2
Cut Both Ways,2
Darius the Great Deserves Better (Darius the Great Series),2
Daughters Unto Devils,2
Death Wind,2
"Doing It Right: Making Smart, Safe, and Satisfying Choices About Sex",2
Doing It!: Let's Talk About Sex,2
Dreadnought (H.I.V.E. Series),2
Eclipse (Twilight Series),2
Eleanor & Park,2
Equal Rights,2
Extremely Loud & Incredibly Close,2
Far from the Tree,2
Far from You,2
Felix Ever After,2
Flamer,2
For Black Girls Like Me,2
Forever for a Year,2
Forever...,2
Front Desk (Front Desk Series),2
Geography Club (Russel Middlebrook Series),2
Gingerbread (Cyd Charisse Series),2
"Girl, (Nearly) 16: Absolute Torture",2
"Gone, Gone, Gone",2
Great,2
grl2grl,2
Guardian (Proxy Series),2
Heavy: An American Memoir,2
Her Royal Highness,2
History Is All You Left Me,2
How to Love,2
I Am Not Your Perfect Mexican Daughter,2
I Know Why The Caged Bird Sings,2
I'll Give You the Sun,2
If I Was Your Girl,2
In Our Mothers' House,2
In the Dream House,2
Infandous,2
Infinity Son (Infinity Cycle Series),2
Let's Talk About Love,2
Little & Lion,2
Lucky,2
Masked,2
Maus 1: A Survivor's Tale: My Father Bleeds History,2
Miles Away from You,2
Monster,2
Morris Micklewhite and the Tangerine Dress,2
My Invented Life,2
My Mixed-Up Berry Blue Summer,2
"My Most Excellent Year: A Novel of Love, Mary Poppins, and Fenway Park",2
My Sister's Keeper,2
"No Girls Allowed: Tales of Daring Women Dressed as Men for Love, Freedom and Adventure",2
None of the Above,2
Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),2
Odd One Out,2
Of Fire and Stars (Of Fire and Stars Series),2
On the Come Up,2
One of Those Hideous Books Where the Mother Dies,2
Openly Straight (Openly Straight Series),2
Ordinary Hazards,2
Panic,2
Perfect (Impulse Series),2
Proxy (Proxy Series),2
"Queer, There and Everywhere: 23 People Who Changed the World",2
Rage: A Love Story,2
Rainbow Boys (Rainbow Trilogy Series),2
Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,2
Red at the Bone,2
Safe Sex 101: An Overview for Teens,2
SEX: If You're Scared of The Truth Don't Read This!,2
"She Loves You, She Loves You Not...",2
Simon vs. the Homo Sapiens Agenda (Simonverse Series),2
So You Want to Talk About Race,2
Sonny's House of Spies,2
Spinning,2
Stained,2
"Stamped: Racism, Antiracism, and You",2
Star-Crossed,2
Staying Fat for Sarah Byrnes,2
Teens and Gender Dysphoria,2
Tessa Masterson Will Go to Prom,2
The Best Man,2
The Black Flamingo,2
The Cider House Rules,2
The Glass Castle,2
The Gravity of Us,2
The Haters,2
The Last Exit to Normal,2
The Last to Let Go,2
The Love Interest,2
The Magic Fish,2
The Migration North,2
The Miseducation of Cameron Post,2
The Moon Within,2
The Nerdy and the Dirty,2
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,2
The Opposite of Innocent,2
The Past and Other Things That Should Stay Buried,2
The Red Scrolls of Magic,2
The Testaments,2
The Underground Girls of Kabul: in Search of a Hidden Resistance in Afghanistan,2
The Upside of Unrequited (Simonverse Series),2
The Vincent Boys (The Vincent Boys Series),2
The Whispers,2
They Both Die at the End,2
"They, She, He Easy as ABC",2
This Is My America,2
Three Little Words: A Memoir,2
Tilt,2
To Kill a Mockingbird,2
Totally Joe (The Misfits Series),2
Traffick (Tricks Series),2
Trans Mission: My Quest to a Beard,2
Triangles,2
Unpregnant,2
We March,2
What If It's Us (What If It's Us Series),2
What They Always Tell Us,2
What We Saw,2
When the Moon Was Ours,2
Whistle Me Home,2
You Know Me Well,2
"¡Solo pregunta!: Sé Diferente, Sé Valiente, Sé Tú",1
¡Vámonos! Let's Go!,1
¿De Dónde Eres?/Where Are You From?,1
"""Multiplication Is for White People"": Raising Expectations for Other People's Children",1
#MurderTrending (MurderTrending Series),1
10 Things I Can See From Here,1
101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,1
"101 Questions About Sex and Sexuality: With Answers for the Curious, Cautious, and Confused",1
25 Women Who Dared to Go,1
25 Women Who Fought Back,1
25 Women Who Ruled,1
25 Women Who Thought of It First,1
33 Snowfish,1
47,1
"47,000 Beads",1
6 Books Removed from Are Returned,1
642 Things to Write About,1
A Bad Boy Can Be Good for a Girl,1
A Big Mooncake for Little Star,1
A Bike Like Sergio's,1
A Boy Called Bat (A Boy Called Bat Series),1
A Certain Slant of Light,1
A Court of Frost and Starlight,1
A Girl on the Shore,1
A Good Kind of Trouble,1
A Guy's Guide to Sexuality and Sexual Identity in the 21st Century,1
A Home for Goddesses and Dogs,1
A is for Activist,1
A is for Audra: Broadway's Leading Ladies from A to Z,1
A Kids Book About Racism,1
A Lesson Before Dying,1
A Line in the Dark,1
A Quick & Easy Guide to Queer & Trans Identities,1
A Raisin in the Sun,1
A Splash of Red: The Life and Art of Horace Pippin,1
"A Very, Very Bad Thing",1
Abortion,1
Abortion (Opposing Viewpoints Series),1
Abortion: A Documentary and Reference Guide,1
Absolute Brightness,1
Abuela's Birthday (Sofía Martínez Series),1
Abuela's Special Letters (Sofía Martínez Series),1
Ace of Spades,1
Ada Byron Lovelace and the Thinking Machine,1
African American Cowboys: True Heroes Of The Old West,1
After the Game (The Field Party Series),1
Alan Cole Is Not a Coward,1
Alex As Well,1
"Alison, Who Went Away",1
All Are Welcome,1
All Eyes on Us,1
All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color,1
All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color (Spanish Version),1
All the World,1
All We Can Do Is Wait,1
Alma and How She Got Her Name,1
Always my Dad,1
Amal Unbound,1
Amazing Grace (Grace Series),1
Amelia to Zora: Twenty-Six Women Who Changed the World,1
American Street,1
An Indigenous Peoples' History of the United States,1
Ana on the Edge,1
And She Was,1
And Tango Makes Three,1
Anger Is a Gift: A Novel,1
Anna Hibiscus (Anna Hibiscus Series),1
Annie on My Mind,1
Another,1
Archenemy,1
Are You LGBTQ?,1
Around Our Way on Neighbors' Day,1
As Brave As You,1
As Far as You'll Take Me,1
As Fast as Words Could Fly,1
Ask Me How I Got Here,1
Asking for It,1
At the Edge of the Universe,1
"Attack of the Swamp Thing (Jaden Toussaint, the Greatest Series)",1
Autoboyography,1
Awakened (House of Night Series),1
Away We Go,1
Bait,1
Baseball Saved Us,1
Bat and the End of Everything (A Boy Called Bat Series),1
Bat and the Waiting Game (A Boy Called Bat Series),1
Bayou Magic (The Louisiana Girls Trilogy Series),1
Beast,1
Beautiful Music for Ugly Children,1
Because,1
Becoming Nicole: The inspiring story of transgender actor-activist Nicole Maines and her extraordinary family,1
Before I Fall,1
Before John Was a Jazz Giant: A Song of John Coltrane,1
Before the Ever After,1
