Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
"Àbíké-Íyímídé, Faridah",Ace of Spades,Banned from Libraries and Classrooms,,,,Florida,Indian River County School,November 2021,Administrator
"Acevedo, Elizabeth",Clap When You Land,Banned from Classrooms,,,,Pennsylvania,Central York,September 2021,Administrator
"Acevedo, Elizabeth",The Poet X,Banned from Libraries,,,,Florida,Indian River County School,November 2021,Administrator
"Acevedo, Elizabeth",The Poet X,Banned from Libraries and Classrooms,,,,New York,Marlboro Central School District,February 2022,Administrator
"Acevedo, Elizabeth",The Poet X,Banned Pending Investigation,,,,Texas,Fredericksburg ISD,March 2022,Administrator
"Acevedo, Elizabeth",The Poet X,Banned Pending Investigation,,,,Virginia,New Kent County,October 2021,Administrator
"Aciman, André",Call Me By Your Name (Call Me By Your Name Series),Banned Pending Investigation,,,,Virginia,Spotslyvania County,November 2021,Administrator
"Acito, Marc","How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)",Banned Pending Investigation,,,,Florida,Indian River County School,November 2021,Administrator
"Adeyoha, Koja","47,000 Beads",Banned from Classrooms,"Adeyoha, Angel","McGillis, Holly",,Pennsylvania,Central York,September 2021,Administrator
"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,Banned from Classrooms,,,,Michigan,Hudsonville Public Schools,January 2022,Formal Challenge
"Agell, Charlotte",The Accidental Adventures of India McAllister,Banned from Libraries,,,,Texas,North East,December 2021,Administrator
"Ahmadi, Arvin",How It All Blew Up,Banned Pending Investigation,,,,Texas,North East,December 2021,Administrator
"Ahmed, Roda",Mae Among the Stars,Banned from Classrooms,,"Burrington, Stasia",,Pennsylvania,Central York,September 2021,Administrator
"Ahmed, Sara K.",Being the Change: Lessons and Strategies to Teach Social Comprehension,Banned from Classrooms,,,,Pennsylvania,Central York,September 2021,Administrator
"Ahmed, Sara K.",Being the Change: Lessons and Strategies to Teach Social Comprehension,Banned Pending Investigation,,,,Texas,North East,December 2021,Administrator
"Albertalli, Becky","Love, Creekwood: A Simonverse Novella (Simonverse Series)",Banned from Libraries,,,,Texas,North East,December 2021,Administrator
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,,Texas,North East,December 2021,Administrator
"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,,Texas,North East,December 2021,Administrator
"Albertalli, Becky",What If It's Us (What If It's Us Series),Banned Pending Investigation,"Silvera, Adam",,,Texas,Granbury Independent School District,January 2022,Administrator
"Albertalli, Becky",What If It's Us (What If It's Us Series),Banned Pending Investigation,"Silvera, Adam",,,Texas,North East,December 2021,Administrator
"Alexander, Kwame",The Undefeated,Banned from Classrooms,,"Nelson, Kadir",,Pennsylvania,Central York,September 2021,Administrator
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned from Classrooms,,,,Pennsylvania,Central York,September 2021,Administrator
