State,District,Origin of Challenge,Date of Challenge/Removal,Type of Ban,Author,Title,Secondary Author(s),Illustrator(s),Translator(s)
Alaska,Anchorage School District,Administrator,October 2021,Banned from Libraries and Classrooms,"Kobabe, Maia",Gender Queer: A Memoir,,,
Arkansas,Siloam Springs School District,Formal Challenge,January 2022,Banned from Libraries and Classrooms,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Andrews, Jesse",The Haters,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Arnold, Elana K.",Damsel,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Arnold, Elana K.",Infandous,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Arnold, Elana K.",Red Hood,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Arnold, Elana K.",What Girls Are Made Of,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Blume, Judy",Forever...,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Dawson, Juno",This Book Is Gay,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Hopkins, Ellen",Crank (Crank Series),,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Hopkins, Ellen",Tilt,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Hopkins, Ellen",Triangles,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Hopkins, Ellen",Tricks (Tricks Series),,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Jackson, Tiffany D.",Monday's Not Coming,,,
Florida,Brevard County Public Schools,Administrator,November 2021,Banned from Libraries and Classrooms,"Kobabe, Maia",Gender Queer: A Memoir,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Maas, Sarah J.",A Court of Mist and Fury,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"McCormick, Patricia",Sold,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Reed, Amy",The Nowhere Girls,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,Sapphire,Push,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Sebold, Alice",Lucky,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Smyth, Ciara",Not My Problem,,,
Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Tamaki, Mariko",This One Summer,,Jillian Tamaki,
Florida,Clay County Schools,Administrator,December 2021,Banned from Libraries and Classrooms,"Johnson, George M.",All Boys Aren't Blue,,,
Florida,Flagler School District,Administrator,November 2021,Banned Pending Investigation,"Anderson, Laurie Halse",Speak,,,
Florida,Flagler School District,Administrator,November 2021,Banned from Libraries,"Johnson, George M.",All Boys Aren't Blue,,,
Florida,Flagler School District,Administrator,November 2021,Banned Pending Investigation,"Kendi, Ibram X.",Stamped from the Beginning: The Definitive History of Racist Ideas in America,,,
Florida,Flagler School District,Administrator,November 2021,Banned Pending Investigation,"Thomas, Angie",The Hate U Give,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Àbíké-Íyímídé, Faridah",Ace of Spades,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Acevedo, Elizabeth",The Poet X,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Acito, Marc","How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)",,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,,"Forney, Ellen",
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Alger, Cristina",Girls Like Us (2019),,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Allende, Isabel",The House of the Spirits,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Allison, Anthony",Hear These Voices: Youth at the Edge of the Millennium,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Anderson, Laurie Halse",Speak,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Anderson, M. T.",Feed,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Andrews, Jesse",Me and Earl and the Dying Girl,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Andrews, Jesse",The Haters,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Applegate, Katherine",Wishtree,,"Santoso, Charles",
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Asher, Jay",Thirteen Reasons Why,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Atta, Dean",The Black Flamingo,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Atwood, Margaret",The Handmaid's Tale,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Bird, Jackson","Sorted: Growing Up, Coming Out, and Finding My Place",,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Blacker, Terence",Boy2Girl,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Blakemore, Kim Taylor",Bowery Girl,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Blount, Patty",Someone I Used to Know,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Blume, Judy",Forever...,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Brown, Echo",Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Cabot, Meg",Ready or Not (All-American Girl Series),,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Callender, Kacen",King and the Dragonflies,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Carle, Eric",Draw Me a Star,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Cashore, Kristin",Graceling (Graceling Realm Series),,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Cast, P. C.",Awakened (House of Night Series),"Cast, Kristin",,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Cast, P. C.",Betrayed (House of Night Series),"Cast, Kristin",,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Cast, P. C.",Burned (House of Night Series),"Cast, Kristin",,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Cast, P. C.",Chosen (House of Night Series),"Cast, Kristin",,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Cast, P. C.",Destined (House of Night Series),"Cast, Kristin",,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Cast, P. C.",Hidden (House of Night Series),"Cast, Kristin",,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Cast, P. C.",Hunted (House of Night Series),"Cast, Kristin",,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Cast, P. C.",Marked (House of Night Series),"Cast, Kristin",,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Cast, P. C.",Redeemed (House of Night Series),"Cast, Kristin",,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Cast, P. C.",Revealed (House of Night Series),"Cast, Kristin",,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Cast, P. C.",Tempted (House of Night Series),"Cast, Kristin",,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Cast, P. C.",Untamed (House of Night Series),"Cast, Kristin",,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Chang, Iris",The Rape of Nanking,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Chbosky, Stephen",The Perks of Being a Wallflower,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Clare, Cassandra",City of Heavenly Fire (The Mortal Instruments Series),,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Cohen, Adam","Imbeciles: The Supreme Court, American Eugenics, and the Sterilization of Carrie Buck",,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Cokal, Susann",The Kingdom of Little Wounds,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Colbert, Brandy",Little & Lion,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Cole, Brock",The Facts Speak for Themselves,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Cremer, Andrea",Rift (Nightshade Prequel Series),,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"de la Peña, Matt",Mexican Whiteboy,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Draper, Sharon M.",Blended,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Duncan, Lois",Killing Mr. Griffin,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Elkeles, Simone",Perfect Chemistry (Perfect Chemistry Series),,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Flake, Sharon G.",Who Am I Without Him?: A Short Story Collection about Girls and Boys in Their Lives,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Flynn, Gillian",Gone Girl,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Foer, Jonathan Safran",Extremely Loud & Incredibly Close,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Foley, Jessie Ann",The Carnival at Bray,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Frank, E. R.",Dime,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Frederick, Joseph",The Black Friend: On Being a Better White Person,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Friend, Natasha",Lush,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"G., Mady",A Quick & Easy Guide to Queer & Trans Identities,"Zuckerberg, J. R.",,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Gay, Roxane",Hunger: A Memoir of (My) Body,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Gino, Alex",Melissa (George),,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Girzone, Joseph F.",Joshua and the City,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Glines, Abbi",The Vincent Boys (The Vincent Boys Series),,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Gould, Sasha",Cross My Heart (Cross My Heart Series),,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Green, John",Looking for Alaska,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Gruen, Sara",Water for Elephants,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Gyasi, Yaa",Homegoing,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Hartzler, Aaron",What We Saw,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Hillstrom, Laurie Collier",Black Lives Matter: From a Moment to a Movement,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Hopkins, Ellen",Crank (Crank Series),,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Hopkins, Ellen",Perfect (Impulse Series),,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Hopkins, Ellen",Traffick (Tricks Series),,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Hopkins, Ellen",Triangles,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Hopkins, Ellen",Tricks (Tricks Series),,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Hosseini, Khaled",The Kite Runner,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Hutchinson, Shaun David",Brave Face: A Memoir,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Huxley, Aldous",Brave New World,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Jewell, Tiffany","This Book Is Anti-Racist: 20 Lessons on How to Wake Up, Take Action, and Do the Work",,"Durand, Aurelia",
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Johnson, Cathy G.",The Breakaways,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Johnson, George M.",All Boys Aren't Blue,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Johnson, Kim",This Is My America,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Johnston, E. K.","Exit, Pursued by a Bear",,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Kendi, Ibram X.",How to Be an Antiracist,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Kilbourne, Christina",They Called Me Red,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Konigsberg, Bill",The Music of What Happens,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Lawrence, Lisa J.",Trail of Crumbs,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Leavitt, Martine",My Book of Life by Angel,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Lee, Lyla",I'll Be the One,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Leone, Bruno",Rape On Campus,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Lockhart, E.",Fly on the Wall: How One Girl Saw Everything,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Lucas, Chad","Thanks a Lot, Universe",,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries,"Maas, Sarah J.",A Court of Mist and Fury,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Mac, Carrie",Charmed,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Malik, Kenan",Strange Fruit: Why Both Sides Are Wrong in the Race Debate,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"Maskame, Estelle",Did I Mention I Need You? (DIMILY Series),,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"Mathieu, Jennifer",The Truth About Alice: A Novel,,,
Florida,Indian River County School,Administrator,November 2021,Banned Pending Investigation,"McCormick, Patricia",Sold,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"McCullough, Joy",Blood Water Paint,,,
Florida,Indian River County School,Administrator,November 2021,Banned from Libraries and Classrooms,"McIlwain, Charlton D.","Black Software: The Internet & Racial Justice, from the Afronet to Black Lives Matter",,,
