Title,count
Gender Queer: A Memoir,30
All Boys Aren't Blue,21
Lawn Boy,16
Out of Darkness,16
The Bluest Eye,12
Beyond Magenta: Transgender Teens Speak Out,11
Me and Earl and the Dying Girl,9
The Hate U Give,9
All American Boys,8
"l8r, g8r",8
Crank (Crank Series),7
This One Summer,7
Jack of Hearts (and other parts),6
Melissa (George),6
The Absolutely True Diary of a Part-Time Indian,6
The Breakaways,6
The Handmaid's Tale,6
This Book Is Gay,6
Drama: A Graphic Novel,5
Fun Home: A Family Tragicomic,5
